house_id,category,overall_score,matching_score,segmentation_score,iterations,first_events,last_events,events_reduction,first_matching_rate,last_matching_rate,total_matches,non_m_matches,noisy_matches,partial_matches,segmentation_ratio,healthy_seg_ratio,total_power_kw,segmented_power_kw,negative_values,n_flags,has_damaged_phases,damaged_phases,n_healthy_phases
2004,DAMAGED,44.09636007912156,60.792477209102,5.138753442500538,2,27862,11059,0.6030794630679779,0.60792477209102,0.09711547156162402,8402,0,0,0,0.0835486665812702,0.05138753442500538,497670.863,41579.737,0,3,True,w1,2
4001,DAMAGED,44.53975207640624,62.406121581408534,2.8515565647342216,2,7057,2724,0.6140002834065467,0.6240612158140854,0.0631424375917768,2199,0,0,0,0.07972641474795487,0.028515565647342214,256558.42,20454.483,0,3,True,w3,2
2049,DAMAGED,44.947215666384366,59.97423396569581,9.884172967991011,2,79174,33121,0.5816682244171066,0.5997423396569581,0.055251954953050936,23730,0,0,0,0.13144412825610324,0.09884172967991012,2566445.04,337344.131,0,4,True,w3,2
5034,DAMAGED,47.70671071992417,66.66666666666666,3.4668135108583735,2,6663,2480,0.6277952874080744,0.6666666666666666,0.12338709677419354,2216,0,0,0,0.0504414851524571,0.034668135108583735,334281.91,16861.676,0,3,True,w1,2
4003,DAMAGED,50.30192304334963,71.65259348612787,0.48369201020042807,2,829,234,0.7177322074788902,0.7165259348612787,0.0,297,0,0,0,0.014509468736833729,0.004836920102004281,147189.538,2135.642,0,3,True,"w2,w3",1
5024,DAMAGED,50.689123103567084,71.70561909497762,1.650632456942511,2,2011,578,0.7125808055693685,0.7170561909497762,0.031141868512110725,718,0,0,0,0.021925884493582102,0.01650632456942511,350443.696,7683.788,0,3,True,w3,2
5033,DAMAGED,51.28059659366426,70.96983210412974,5.33904706924481,2,52473,15698,0.7008366207382845,0.7096983210412974,0.06281054911453689,18492,0,0,0,0.08027061183563722,0.053390470692448094,1243187.31,99791.406,0,3,True,w1,2
6042,DAMAGED,51.87855200381761,68.7193392439838,12.583381776763202,2,56057,19423,0.6535133881584816,0.687193392439838,0.1369510374298512,19228,0,0,0,0.18595302803976155,0.12583381776763203,1015359.669,188809.205,0,4,True,w1,2
5085,DAMAGED,52.65624837534434,72.48632218844985,6.386076144764834,2,8225,2312,0.7189057750759879,0.7248632218844985,0.02249134948096886,2981,0,0,0,0.09550464669095762,0.06386076144764834,273152.123,26087.297,0,3,True,w3,2
5013,DAMAGED,54.50838172290632,73.37888198757764,10.477214438673254,2,48300,13172,0.727287784679089,0.7337888198757764,0.04054054054054054,17721,0,0,0,0.18857140903525788,0.10477214438673255,933067.78,175949.906,0,3,True,w3,2
330,DAMAGED,55.58149062113498,75.63038685107236,8.800732751281126,2,24945,6401,0.743395470034075,0.7563038685107236,0.07967505077331667,9423,0,0,0,0.13233160793828813,0.08800732751281126,1414076.16,187126.972,0,4,True,w1,2
2078,DAMAGED,55.862552157164075,74.81311872853391,11.64456349063447,2,89094,23231,0.7392529238781511,0.7481311872853391,0.09762816925659679,33308,0,0,0,0.1652101938491667,0.1164456349063447,2179033.458,359998.54,0,3,True,w1,2
500,DAMAGED,56.96220614926921,80.08658008658008,3.0053336288771675,2,1386,290,0.7907647907647908,0.8008658008658008,0.04827586206896552,555,0,0,0,0.09016000886631503,0.030053336288771677,69629.829,6277.826,0,3,True,"w2,w3",1
2,DAMAGED,59.98790025752041,79.91393347290068,13.493822754966441,2,17196,3746,0.7821586415445452,0.7991393347290068,0.12920448478376936,6869,0,0,0,0.21255634169263968,0.13493822754966442,1215468.675,258355.575,0,4,True,w1,2
5075,DAMAGED,60.00719421489851,84.87880809428508,1.973428496329865,2,8994,1376,0.8470091171892373,0.8487880809428507,0.03488372093023256,3817,0,0,0,0.030379302696111693,0.01973428496329865,1161786.179,35294.254,0,3,True,w3,2
2087,DAMAGED,60.31189311448491,79.9439932791935,14.503659396831523,2,17855,3780,0.7882945953514422,0.799439932791935,0.13227513227513227,7125,0,0,0,0.23938853704584823,0.14503659396831522,586998.963,140520.823,0,4,True,w1,2
5022,DAMAGED,60.934949566998334,85.22267206477733,4.263597072180696,2,1976,288,0.854251012145749,0.8522267206477733,0.041666666666666664,842,0,0,0,0.06610083173772234,0.042635970721806964,84092.134,5558.56,0,3,True,w1,2
40,DAMAGED,61.279584210639385,82.23950679235816,12.373098186628944,2,27899,5681,0.7963726298433635,0.8223950679235815,0.1911635275479669,11469,0,0,0,0.3711921627122193,0.12373098186628945,717364.292,266280.003,0,2,True,"w2,w3",1
346,DAMAGED,61.96566671257403,79.70884255930984,20.564923070190464,2,11128,2329,0.7907081236520489,0.7970884255930984,0.0841562902533276,4435,0,0,0,0.3117806732021084,0.20564923070190463,404872.915,126231.55,0,3,True,w1,2
6055,DAMAGED,62.07080825537032,80.88219501718214,18.177572477809427,2,74496,14733,0.8022309922680413,0.8088219501718213,0.07561257042014526,30109,0,0,0,0.29754954846169257,0.18177572477809426,1509373.045,449113.268,0,4,True,w3,2
400,DAMAGED,62.11306208760254,80.64474399109984,18.87247097944218,2,38651,7447,0.8073271066725312,0.8064474399109984,0.15012756814824763,15458,0,0,0,0.2611847582563473,0.1887247097944218,329740.095,86123.087,0,3,True,w3,2
6011,DAMAGED,64.55066572163862,82.34912394548995,23.02092986598554,2,12328,2229,0.8191920830629461,0.8234912394548994,0.03768506056527591,5076,0,0,0,0.28672050405081145,0.2302092986598554,266458.216,76399.034,0,4,True,w2,2
2005,DAMAGED,66.1081578326587,85.6162424935659,20.589293623875278,2,6994,1033,0.8523019731198169,0.8561624249356591,0.05033881897386254,2990,0,0,0,0.2993668078238299,0.2058929362387528,319519.267,95653.463,0,3,True,w1,2
2012,DAMAGED,69.50982607759947,91.74688206244245,17.623362112965868,2,23894,2047,0.9143299573114589,0.9174688206244246,0.142647777234978,10947,0,0,0,0.5286881744812663,0.17623362112965868,142707.355,75447.691,0,2,True,"w1,w2",1
325,DAMAGED,70.27172025372447,88.12238827112402,28.620161546458846,2,28238,3522,0.8752744528649338,0.8812238827112402,0.1033503691084611,12438,0,0,0,0.473955441996366,0.28620161546458844,990808.214,469598.945,0,3,True,w1,2
5015,POOR,33.3952987251086,43.88583398795497,8.917383111800438,2,3819,2155,0.43571615606179626,0.43885833987954964,0.0064965197215777265,838,0,0,0,0.04204802741250479,0.08917383111800438,591041.21,24852.117,0,3,False,,3
264,POOR,37.238589546286406,52.578125,1.4463401542880188,2,2560,1222,0.52265625,0.52578125,0.006546644844517185,673,0,0,0,0.014782737437938091,0.014463401542880188,162913.94,2408.314,0,2,False,,3
6201,FAIR,41.95557244508958,59.01946985690828,2.1398118175126313,2,8526,3527,0.5863241848463523,0.5901946985690828,0.01417635384179189,2515,0,0,0,0.020684963169419767,0.021398118175126313,770015.971,15927.752,0,2,False,,3
2050,FAIR,42.68749853329969,57.88022499172825,7.2378034636330595,2,9067,3921,0.5675526635050182,0.5788022499172825,0.03519510328997705,2618,0,0,0,0.083701969892574,0.0723780346363306,764358.534,63978.315,0,2,False,,3
4006,FAIR,43.13959111656552,58.59851049424509,7.068779235313204,2,5908,2489,0.5787068381855112,0.5859851049424509,0.04098031337886701,1725,0,0,0,0.06489589318097738,0.07068779235313204,405425.316,26310.438,0,2,False,,3
263,FAIR,44.11977408129016,60.65711878685762,5.532636434966087,2,2374,958,0.5964616680707666,0.6065711878685762,0.03549060542797495,719,0,0,0,0.04209042202229108,0.05532636434966087,204110.498,8591.097,0,2,False,,3
6026,FAIR,44.211624956223964,57.07406558128869,14.19926349773962,2,17444,7738,0.556409080486127,0.5707406558128869,0.07314551563711554,4976,0,0,0,0.23237081482673722,0.1419926349773962,698255.769,162254.262,0,3,False,,3
6060,FAIR,44.325279878403165,60.08328375966686,7.556604155454553,2,5043,2090,0.5855641483244101,0.6008328375966686,0.04784688995215311,1514,0,0,0,0.07662211529168932,0.07556604155454553,213589.966,16365.715,0,2,False,,3
307,FAIR,45.70902310481047,58.229863100923275,16.49372978054727,2,6282,2646,0.5787965616045845,0.5822986310092327,0.034013605442176874,1829,0,0,0,0.15654111677075855,0.1649372978054727,500751.059,78388.13,0,3,False,,3
